root 3rd 5th 7th 9th 11th 13th name dissonance
0 3 2 0 1 2 2 "C b9 #11 13" 10
0 3 2 0 2 0 0 "C 9" 2
0 3 2 0 2 0 1 "C 9 b13" 6
0 3 2 0 2 0 2 "C 9 13" 3
0 3 2 0 2 1 0 "C 9 11" 5
0 3 2 0 2 1 1 "C 9 11 b13" 9
0 3 2 0 2 1 2 "C 9 11 13" 6
0 3 2 0 2 2 0 "C 9 #11" 7
0 3 2 0 2 2 1 "C 9 #11 b13" 12
0 3 2 0 2 2 2 "C 9 #11 13" 8
0 3 2 0 3 0 0 "C #9" 2
0 3 2 0 3 0 1 "C #9 b13" 4
0 3 2 0 3 0 2 "C #9 13" 5
0 3 2 0 3 1 0 "C #9 11" 6
0 3 2 0 3 1 1 "C #9 11 b13" 8
0 3 2 0 3 1 2 "C #9 11 13" 9
0 3 2 0 3 2 0 "C #9 #11" 7
0 3 2 0 3 2 1 "C #9 #11 b13" 10
0 3 2 0 3 2 2 "C #9 #11 13" 10
0 3 2 1 0 0 0 "C 7" 3
0 3 2 1 0 0 1 "C 7 b13" 6
0 3 2 1 0 0 2 "C 7 13" 6
0 3 2 1 0 1 0 "C 7 11" 6
0 3 2 1 0 1 1 "C 7 11 b13" 9
0 3 2 1 0 1 2 "C 7 11 13" 9
0 3 2 1 0 2 0 "C 7 #11" 8
0 3 2 1 0 2 1 "C 7 #11 b13" 12
0 3 2 1 0 2 2 "C 7 #11 13" 11
0 3 2 1 1 0 0 "C 7 b9" 7
0 3 2 1 1 0 1 "C 7 b9 b13" 10
0 3 2 1 1 0 2 "C 7 b9 13" 10
0 3 2 1 1 1 0 "C 7 b9 11" 10
0 3 2 1 1 1 1 "C 7 b9 11 b13" 13
0 3 2 1 1 1 2 "C 7 b9 11 13" 13
0 3 2 1 1 2 0 "C 7 b9 #11" 12
0 3 2 1 1 2 1 "C 7 b9 #11 b13" 16
0 3 2 1 1 2 2 "C 7 b9 #11 13" 15
0 3 2 1 2 0 0 "C 7 9" 5
0 3 2 1 2 0 1 "C 7 9 b13" 10
0 3 2 1 2 0 2 "C 7 9 13" 8
0 3 2 1 2 1 0 "C 7 9 11" 8
0 3 2 1 2 1 1 "C 7 9 11 b13" 13
0 3 2 1 2 1 2 "C 7 9 11 13" 11
0 3 2 1 2 2 0 "C 7 9 #11" 10
0 3 2 1 2 2 1 "C 7 9 #11 b13" 16
0 3 2 1 2 2 2 "C 7 9 #11 13" 13
0 3 2 1 3 0 0 "C 7 #9" 5
0 3 2 1 3 0 1 "C 7 #9 b13" 8
0 3 2 1 3 0 2 "C 7 #9 13" 10
0 3 2 1 3 1 0 "C 7 #9 11" 9
0 3 2 1 3 1 1 "C 7 #9 11 b13" 12
0 3 2 1 3 1 2 "C 7 #9 11 13" 14
0 3 2 1 3 2 0 "C 7 #9 #11" 10
0 3 2 1 3 2 1 "C 7 #9 #11 b13" 14
0 3 2 1 3 2 2 "C 7 #9 #11 13" 15
0 3 2 2 0 0 0 "C maj7" 2
0 3 2 2 0 0 1 "C maj7 b13" 4
0 3 2 2 0 0 2 "C maj7 13" 4
0 3 2 2 0 1 0 "C maj7 11" 7
0 3 2 2 0 1 1 "C maj7 11 b13" 9
0 3 2 2 0 1 2 "C maj7 11 13" 9
0 3 2 2 0 2 0 "C maj7 #11" 7
0 3 2 2 0 2 1 "C maj7 #11 b13" 10
0 3 2 2 0 2 2 "C maj7 #11 13" 9
0 3 2 2 1 0 0 "C maj7 b9" 7
0 3 2 2 1 0 1 "C maj7 b9 b13" 9
0 3 2 2 1 0 2 "C maj7 b9 13" 9
0 3 2 2 1 1 0 "C maj7 b9 11" 12
0 3 2 2 1 1 1 "C maj7 b9 11 b13" 14
0 3 2 2 1 1 2 "C maj7 b9 11 13" 14
0 3 2 2 1 2 0 "C maj7 b9 #11" 12
0 3 2 2 1 2 1 "C maj7 b9 #11 b13" 15
0 3 2 2 1 2 2 "C maj7 b9 #11 13" 14
0 3 2 2 2 0 0 "C maj7 9" 4
0 3 2 2 2 0 1 "C maj7 9 b13" 8
0 3 2 2 2 0 2 "C maj7 9 13" 6
0 3 2 2 2 1 0 "C maj7 9 11" 9
0 3 2 2 2 1 1 "C maj7 9 11 b13" 13
0 3 2 2 2 1 2 "C maj7 9 11 13" 11
0 3 2 2 2 2 0 "C maj7 9 #11" 9
0 3 2 2 2 2 1 "C maj7 9 #11 b13" 14
0 3 2 2 2 2 2 "C maj7 9 #11 13" 11
0 3 2 2 3 0 0 "C maj7 #9" 4
0 3 2 2 3 0 1 "C maj7 #9 b13" 6
0 3 2 2 3 0 2 "C maj7 #9 13" 8
0 3 2 2 3 1 0 "C maj7 #9 11" 10
0 3 2 2 3 1 1 "C maj7 #9 11 b13" 12
0 3 2 2 3 1 2 "C maj7 #9 11 13" 14
0 3 2 2 3 2 0 "C maj7 #9 #11" 9
0 3 2 2 3 2 1 "C maj7 #9 #11 b13" 12
0 3 2 2 3 2 2 "C maj7 #9 #11 13" 13
0 3 3 0 0 0 0 "C #5" 1
0 3 3 0 0 0 2 "C #5 13" 3
0 3 3 0 0 1 0 "C #5 11" 3
0 3 3 0 0 1 2 "C #5 11 13" 5
0 3 3 0 1 0 0 "C #5 b9" 3
0 3 3 0 1 0 2 "C #5 b9 13" 5
0 3 3 0 1 1 0 "C #5 b9 11" 5
0 3 3 0 1 1 2 "C #5 b9 11 13" 7
0 3 3 0 2 0 0 "C #5 9" 5
0 3 3 0 2 0 2 "C #5 9 13" 7
0 3 3 0 2 1 0 "C #5 9 11" 7
0 3 3 0 2 1 2 "C #5 9 11 13" 9
0 3 3 0 3 0 0 "C #5 #9" 3
0 3 3 0 3 0 2 "C #5 #9 13" 7
0 3 3 0 3 1 0 "C #5 #9 11" 6
0 3 3 0 3 1 2 "C #5 #9 11 13" 10
